times,temperatures
0.0,4.444236118452771
0.041666666666666664,5.951314371526568
0.08333333333333333,5.6060362450886565
0.125,5.227984160464806
0.16666666666666666,7.617014510654742
0.20833333333333334,8.12734717883146
0.25,8.161404277638987
0.2916666666666667,10.375459989691052
0.3333333333333333,9.928224859559627
0.375,12.58757305316044
0.4166666666666667,12.980025883275442
0.4583333333333333,13.522179197023684
0.5,13.158354024480172
0.5416666666666666,11.607421988374426
0.5833333333333334,12.764857951500971
0.625,10.906089394887424
0.6666666666666666,11.370646759348134
0.7083333333333334,10.308011180403792
0.75,8.790448163168277
0.7916666666666666,7.859134928216629
0.8333333333333334,7.097271629677093
0.875,7.220260675208163
0.9166666666666666,6.436772136670206
0.9583333333333334,4.99964227163678
1.0,4.474114883047532
1.0416666666666667,4.448355109829336
1.0833333333333333,4.715022190539907
1.125,5.786914247534552
1.1666666666666667,6.841483173541555
1.2083333333333333,7.9596606203485045
1.25,9.243709092314875
1.2916666666666667,10.54353183931392
1.3333333333333333,12.05656681349294
1.375,10.62230263006634
1.4166666666666667,13.754594034209765
1.4583333333333333,12.465523980811634
1.5,12.63996096555808
1.5416666666666667,12.834510488787
1.5833333333333333,12.885330584233758
1.625,12.083244345017215
1.6666666666666667,11.866541327006885
1.7083333333333333,10.218189096149876
1.75,8.65629347906223
1.7916666666666667,7.782731050821059
1.8333333333333333,7.1411172973580825
1.875,5.484284219917726
1.9166666666666667,5.202688209350209
1.9583333333333333,5.178076399402057
2.0,4.903018186436933
2.0416666666666665,5.296966765626612
2.0833333333333335,5.111336641733344
2.125,5.894045737315331
2.1666666666666665,7.146599427377343
2.2083333333333335,7.088075056304543
2.25,7.99604064669079
2.2916666666666665,10.529883408807052
2.3333333333333335,10.446218007749078
2.375,11.83274922151717
2.4166666666666665,12.574410631940886
2.4583333333333335,12.161499642049213
2.5,12.847802230136267
2.5416666666666665,13.037877288951183
2.5833333333333335,12.640632588599665
2.625,11.788820630415586
2.6666666666666665,10.224159367583827
2.7083333333333335,10.685746139510787
2.75,9.930088827406717
2.7916666666666665,8.548211070594265
2.8333333333333335,8.244729900736774
2.875,5.266899882540991
2.9166666666666665,5.063352336763003
2.9583333333333335,5.271961587683821
3.0,5.805930057663412
3.0416666666666665,5.936595566538141
3.0833333333333335,4.603117191844916
3.125,6.291196484857099
3.1666666666666665,6.803585981738209
3.2083333333333335,8.297649417615915
3.25,8.218179301648252
3.2916666666666665,9.920904487219929
3.3333333333333335,11.038319980866536
3.375,11.621558826084204
3.4166666666666665,11.783134896154486
3.4583333333333335,11.689781673837274
3.5,12.493887594062604
3.5416666666666665,13.284450920146643
3.5833333333333335,12.93490363105377
3.625,12.880478896056374
3.6666666666666665,11.302312965910438
3.7083333333333335,10.534828707522832
3.75,9.055985482572725
3.7916666666666665,8.530719587793818
3.8333333333333335,7.651241307905451
3.875,5.772009596798256
3.9166666666666665,4.878510251481503
3.9583333333333335,4.013140189775703
4.0,5.156417308452152
4.041666666666667,5.101514391720303
4.083333333333333,6.001482839507977
4.125,5.711252045151307
4.166666666666667,6.618775448508426
4.208333333333333,7.298085668492064
4.25,7.973316388995125
4.291666666666667,8.707248552210022
4.333333333333333,10.197028842763244
4.375,12.943940455745677
4.416666666666667,12.90507737231069
4.458333333333333,13.14660857111898
4.5,12.391533571382364
4.541666666666667,13.009225141365262
4.583333333333333,13.609226266876096
4.625,12.093454656816972
4.666666666666667,11.117101164814457
4.708333333333333,10.218756725394327
4.75,9.141105889386957
4.791666666666667,6.980023064245703
4.833333333333333,6.574704132952478
4.875,6.450576014511298
4.916666666666667,5.341935110692603
4.958333333333333,4.829836265375851
5.0,4.86713549394597
5.041666666666667,4.635814073919451
5.083333333333333,4.6310769730599155
5.125,7.204731076552351
5.166666666666667,7.1587639856527945
5.208333333333333,7.551349862536156
5.25,9.766359838817403
5.291666666666667,9.501920114056983
5.333333333333333,11.325639843475987
5.375,11.648385225223677
5.416666666666667,12.624918715922384
5.458333333333333,12.94114277855334
5.5,12.991955606038537
5.541666666666667,12.151831328530772
5.583333333333333,12.729876754283584
5.625,11.867667605662545
5.666666666666667,10.871288075482024
5.708333333333333,11.122424684108985
5.75,8.30037095449975
5.791666666666667,7.654254546486992
5.833333333333333,7.1688835954526136
5.875,5.576681517840921
5.916666666666667,6.071550010216101
5.958333333333333,4.474309166931674
6.0,4.5734345604580735
6.041666666666667,5.734354405171206
6.083333333333333,5.968683137686091
6.125,6.90041135145829
6.166666666666667,7.09477439476373
6.208333333333333,8.408751399065315
6.25,9.405484258574692
6.291666666666667,10.679960323537383
6.333333333333333,11.2820132695595
6.375,11.64064988947732
6.416666666666667,12.983711218872141
6.458333333333333,13.395613686476961
6.5,13.677263992406585
6.541666666666667,11.979913361906991
6.583333333333333,12.30370013855668
6.625,10.622032614774687
6.666666666666667,10.449528798030958
6.708333333333333,10.192056483336511
6.75,8.765353424018798
6.791666666666667,7.82598528088848
6.833333333333333,7.882342071807744
6.875,5.363285334094285
6.916666666666667,4.38352597659758
6.958333333333333,6.052276316898403
7.0,4.321149606473524
7.041666666666667,4.529017000698427
7.083333333333333,5.82140000700694
